model,mean_map50,min_map50,max_map50,std_map50,worst_light,best_light,mean_fnr,max_fnr
baseline,0.9864222851559393,0.9739222488038278,0.995,0.006146195525149122,light_09,light_11,0.01124726471658305,0.03683689646175059
p2,0.9860667871916977,0.9691568457678025,0.995,0.007867036737063526,light_09,light_11,0.015613374421179483,0.03809656081948587
