epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5890.13,1.49693,0.68784,1.0429,0.9767,0.98145,0.98505,0.55297,1.48865,0.5758,1.07184,0.0005941,0.0005941,0.0005941
43,6038.18,1.50109,0.69009,1.04308,0.978,0.98215,0.98433,0.54612,1.51498,0.57646,1.08074,0.0005842,0.0005842,0.0005842
44,6180.95,1.49107,0.68512,1.04314,0.97806,0.98097,0.98548,0.55093,1.49994,0.56783,1.074,0.0005743,0.0005743,0.0005743
45,6322.64,1.47733,0.6819,1.03549,0.97665,0.98382,0.98587,0.54931,1.50226,0.57158,1.07456,0.0005644,0.0005644,0.0005644
46,6462.66,1.4741,0.68027,1.03588,0.98032,0.98084,0.98672,0.55449,1.48174,0.5645,1.0679,0.0005545,0.0005545,0.0005545
47,6611.32,1.4751,0.67454,1.03932,0.97538,0.98323,0.98602,0.55811,1.4817,0.5621,1.06684,0.0005446,0.0005446,0.0005446
48,6754.54,1.45325,0.66309,1.02776,0.98029,0.98415,0.98701,0.55807,1.47743,0.55519,1.06639,0.0005347,0.0005347,0.0005347
49,6896.76,1.45613,0.66734,1.02781,0.97815,0.98263,0.98554,0.55327,1.48664,0.55936,1.06957,0.0005248,0.0005248,0.0005248
50,7041.38,1.45329,0.66241,1.03221,0.98131,0.98767,0.98719,0.55894,1.46952,0.5525,1.06485,0.0005149,0.0005149,0.0005149
51,7189.58,1.4499,0.65748,1.02839,0.97702,0.98555,0.98669,0.55947,1.4714,0.55127,1.06335,0.000505,0.000505,0.000505
52,7339.12,1.4378,0.64647,1.02176,0.97734,0.98537,0.98692,0.56574,1.45792,0.5486,1.05948,0.0004951,0.0004951,0.0004951
53,7484.72,1.43912,0.65973,1.02294,0.98077,0.97989,0.98618,0.56205,1.46523,0.55171,1.06253,0.0004852,0.0004852,0.0004852
54,7626.72,1.4218,0.65048,1.01751,0.97896,0.9854,0.98651,0.56504,1.45855,0.54267,1.05861,0.0004753,0.0004753,0.0004753
55,7767.12,1.42266,0.64947,1.02685,0.97837,0.98239,0.98625,0.56565,1.45354,0.54456,1.05875,0.0004654,0.0004654,0.0004654
56,7907.3,1.42533,0.64622,1.02215,0.97955,0.98578,0.9874,0.57053,1.44281,0.53722,1.05419,0.0004555,0.0004555,0.0004555
57,8051.22,1.40546,0.63005,1.00827,0.97908,0.98484,0.9867,0.57214,1.42903,0.53278,1.04975,0.0004456,0.0004456,0.0004456
58,8197.23,1.38784,0.62917,1.00324,0.98078,0.98647,0.98745,0.57474,1.43294,0.53232,1.05131,0.0004357,0.0004357,0.0004357
59,8343.15,1.39617,0.63093,1.00799,0.98052,0.98555,0.98718,0.56861,1.44786,0.53657,1.05715,0.0004258,0.0004258,0.0004258
60,8483.78,1.38715,0.62614,1.0147,0.98114,0.98424,0.98627,0.5719,1.43217,0.53129,1.05459,0.0004159,0.0004159,0.0004159
61,8622.11,1.39259,0.62786,1.01208,0.9806,0.98612,0.98629,0.57414,1.43084,0.52768,1.05088,0.000406,0.000406,0.000406
62,8765.36,1.38073,0.62477,1.00763,0.98007,0.98541,0.98743,0.57331,1.43032,0.53032,1.05247,0.0003961,0.0003961,0.0003961
63,8909.04,1.37437,0.62024,1.00229,0.98065,0.98592,0.98658,0.57689,1.41609,0.52498,1.04933,0.0003862,0.0003862,0.0003862
64,9050.17,1.36993,0.6194,1.00295,0.97899,0.98875,0.9883,0.57707,1.41589,0.522,1.04822,0.0003763,0.0003763,0.0003763
65,9189.69,1.37692,0.6174,1.0075,0.98052,0.98617,0.98765,0.58064,1.40882,0.52215,1.04599,0.0003664,0.0003664,0.0003664
66,9334.85,1.35726,0.6121,1.00149,0.98045,0.98403,0.98776,0.58228,1.40778,0.52051,1.04427,0.0003565,0.0003565,0.0003565
67,9486.55,1.35332,0.60523,0.9982,0.97998,0.98399,0.98687,0.58034,1.40893,0.52173,1.04638,0.0003466,0.0003466,0.0003466
68,9624.98,1.35491,0.61231,0.99921,0.97811,0.98932,0.98793,0.58351,1.4016,0.51501,1.04554,0.0003367,0.0003367,0.0003367
69,9766.24,1.34579,0.60801,0.99623,0.98134,0.98823,0.98684,0.58401,1.39793,0.51214,1.04308,0.0003268,0.0003268,0.0003268
70,9907.89,1.33508,0.59764,0.9933,0.9803,0.9868,0.98816,0.58526,1.39947,0.51227,1.04328,0.0003169,0.0003169,0.0003169
71,10051.4,1.33569,0.60431,0.99541,0.9793,0.98962,0.98828,0.58549,1.392,0.50927,1.04293,0.000307,0.000307,0.000307
72,10191.8,1.31728,0.59489,0.99,0.97772,0.98814,0.9875,0.58377,1.39656,0.51108,1.04314,0.0002971,0.0002971,0.0002971
