epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2610.15,1.63001,0.97118,1.54826,0.97512,0.96907,0.97982,0.50965,1.61398,0.63275,1.65404,0.0005941,0.0005941,0.0005941
43,2671.78,1.62215,0.94651,1.54319,0.97711,0.97533,0.98146,0.52806,1.56311,0.61674,1.62087,0.0005842,0.0005842,0.0005842
44,2732.94,1.60898,0.94041,1.52525,0.97428,0.97308,0.98022,0.52245,1.58169,0.61517,1.63337,0.0005743,0.0005743,0.0005743
45,2794.37,1.61617,0.95749,1.55104,0.97599,0.97533,0.98314,0.52278,1.58009,0.6111,1.63141,0.0005644,0.0005644,0.0005644
46,2856.08,1.59896,0.92093,1.53164,0.97104,0.98012,0.98253,0.52863,1.57062,0.60009,1.62365,0.0005545,0.0005545,0.0005545
47,2917.62,1.60141,0.93355,1.53935,0.97005,0.9804,0.98141,0.53551,1.5533,0.59225,1.61072,0.0005446,0.0005446,0.0005446
48,2979.35,1.59003,0.92261,1.53959,0.97325,0.97617,0.98054,0.52558,1.57224,0.59483,1.62753,0.0005347,0.0005347,0.0005347
49,3040.83,1.59559,0.90269,1.53481,0.97081,0.97775,0.98255,0.5344,1.55696,0.59117,1.61327,0.0005248,0.0005248,0.0005248
50,3101.87,1.58687,0.91963,1.52647,0.97806,0.97931,0.98228,0.53323,1.55236,0.58824,1.61249,0.0005149,0.0005149,0.0005149
51,3163.15,1.58261,0.89823,1.52223,0.9776,0.9783,0.98368,0.53755,1.54418,0.58675,1.60461,0.000505,0.000505,0.000505
52,3225.21,1.5737,0.8812,1.51984,0.97696,0.97585,0.98248,0.53687,1.54257,0.58583,1.60676,0.0004951,0.0004951,0.0004951
53,3287.02,1.56983,0.8777,1.51655,0.97344,0.97946,0.98193,0.54027,1.54001,0.57989,1.60199,0.0004852,0.0004852,0.0004852
54,3348.15,1.56277,0.88489,1.50858,0.97445,0.97951,0.98171,0.54059,1.53244,0.57515,1.59402,0.0004753,0.0004753,0.0004753
55,3409.61,1.55935,0.87252,1.51563,0.97514,0.98104,0.98168,0.5421,1.5358,0.56799,1.59916,0.0004654,0.0004654,0.0004654
56,3470.7,1.55197,0.86937,1.50715,0.97348,0.97915,0.98139,0.53898,1.55075,0.57171,1.60835,0.0004555,0.0004555,0.0004555
57,3532.19,1.55325,0.8782,1.50937,0.97725,0.97969,0.98382,0.54609,1.52136,0.56604,1.58807,0.0004456,0.0004456,0.0004456
58,3594,1.53477,0.86441,1.50234,0.97683,0.98188,0.9842,0.54468,1.52869,0.56117,1.59526,0.0004357,0.0004357,0.0004357
59,3655.5,1.55251,0.86639,1.50314,0.97374,0.98199,0.98472,0.54774,1.51478,0.56275,1.58361,0.0004258,0.0004258,0.0004258
60,3717.26,1.534,0.86003,1.4932,0.97611,0.98075,0.98417,0.55261,1.50499,0.55676,1.57886,0.0004159,0.0004159,0.0004159
61,3778.44,1.53026,0.84014,1.49671,0.9768,0.98125,0.98299,0.54806,1.51597,0.55958,1.58606,0.000406,0.000406,0.000406
62,3839.71,1.53624,0.84955,1.48369,0.97441,0.98432,0.98501,0.55243,1.50882,0.5517,1.57934,0.0003961,0.0003961,0.0003961
63,3900.89,1.51892,0.83836,1.48291,0.97687,0.98298,0.98369,0.55586,1.49841,0.54968,1.57343,0.0003862,0.0003862,0.0003862
64,3962.27,1.50704,0.83486,1.47953,0.97587,0.98301,0.98509,0.55538,1.49698,0.5489,1.57257,0.0003763,0.0003763,0.0003763
65,4023.75,1.51732,0.84842,1.48752,0.97507,0.98331,0.98493,0.55567,1.4974,0.54651,1.57489,0.0003664,0.0003664,0.0003664
66,4085.12,1.49549,0.8212,1.46844,0.97683,0.98252,0.98494,0.55779,1.49202,0.54234,1.57135,0.0003565,0.0003565,0.0003565
67,4146.79,1.5077,0.82507,1.4803,0.97697,0.983,0.9847,0.55477,1.49624,0.54383,1.57348,0.0003466,0.0003466,0.0003466
68,4207.87,1.49058,0.82757,1.46425,0.97888,0.98099,0.98576,0.56123,1.47922,0.53948,1.56158,0.0003367,0.0003367,0.0003367
69,4269.47,1.48866,0.82073,1.46734,0.97896,0.98334,0.98564,0.56066,1.47838,0.53635,1.56156,0.0003268,0.0003268,0.0003268
70,4330.97,1.48344,0.82007,1.47044,0.97672,0.98277,0.98502,0.56511,1.47247,0.53666,1.55683,0.0003169,0.0003169,0.0003169
71,4392.29,1.47894,0.82405,1.46175,0.97865,0.97864,0.98571,0.56811,1.46506,0.5352,1.55232,0.000307,0.000307,0.000307
72,4453.38,1.47537,0.80327,1.45194,0.97321,0.98219,0.98576,0.56617,1.46854,0.53721,1.55404,0.0002971,0.0002971,0.0002971
73,4514.88,1.47798,0.80766,1.45214,0.97552,0.98479,0.98434,0.56671,1.46854,0.53321,1.55356,0.0002872,0.0002872,0.0002872
74,4576.44,1.47292,0.81614,1.45738,0.97788,0.98328,0.98482,0.56668,1.46742,0.52984,1.55533,0.0002773,0.0002773,0.0002773
75,4638.37,1.46304,0.80079,1.44841,0.97749,0.98406,0.98621,0.56853,1.45948,0.52545,1.5475,0.0002674,0.0002674,0.0002674
76,4699.82,1.45656,0.80285,1.44197,0.97676,0.98291,0.98602,0.5657,1.47023,0.52993,1.5563,0.0002575,0.0002575,0.0002575
77,4761.41,1.47044,0.80483,1.44671,0.98024,0.98437,0.98646,0.57161,1.45659,0.52475,1.54696,0.0002476,0.0002476,0.0002476
78,4823.11,1.44948,0.78974,1.4306,0.97915,0.98409,0.9855,0.57305,1.44802,0.52321,1.542,0.0002377,0.0002377,0.0002377
79,4885.01,1.43573,0.78322,1.43372,0.97879,0.98527,0.98616,0.57368,1.44868,0.52236,1.54612,0.0002278,0.0002278,0.0002278
80,4946.89,1.43997,0.78176,1.43084,0.97864,0.98492,0.98607,0.56939,1.45627,0.52396,1.55134,0.0002179,0.0002179,0.0002179
81,5008.95,1.44043,0.78571,1.43565,0.98036,0.98486,0.9861,0.57174,1.44897,0.52038,1.54383,0.000208,0.000208,0.000208
82,5070.69,1.43181,0.78833,1.42771,0.97883,0.98509,0.98645,0.57491,1.43907,0.51945,1.53788,0.0001981,0.0001981,0.0001981
83,5132.78,1.42382,0.76651,1.41521,0.97932,0.98447,0.98613,0.57494,1.43861,0.5182,1.53717,0.0001882,0.0001882,0.0001882
84,5194.6,1.42,0.77522,1.41327,0.97821,0.98526,0.98615,0.57825,1.42972,0.51385,1.53378,0.0001783,0.0001783,0.0001783
85,5256.38,1.42704,0.78551,1.42243,0.98063,0.98364,0.98622,0.5789,1.4295,0.51454,1.53255,0.0001684,0.0001684,0.0001684
86,5317.82,1.40953,0.76362,1.41783,0.97737,0.98672,0.98621,0.57487,1.43763,0.51526,1.53719,0.0001585,0.0001585,0.0001585
87,5380.3,1.39432,0.75333,1.40433,0.98099,0.98443,0.98632,0.57981,1.4291,0.51293,1.53279,0.0001486,0.0001486,0.0001486
88,5441.72,1.40401,0.76629,1.41494,0.97854,0.9859,0.98635,0.57847,1.42799,0.51218,1.53061,0.0001387,0.0001387,0.0001387
89,5503.41,1.40977,0.76961,1.41486,0.97924,0.98505,0.9867,0.5795,1.42663,0.51253,1.53097,0.0001288,0.0001288,0.0001288
90,5565.69,1.39693,0.75782,1.4006,0.97832,0.98622,0.98672,0.58107,1.42089,0.51002,1.52741,0.0001189,0.0001189,0.0001189
91,5628.82,1.31168,0.57482,1.44867,0.97959,0.98497,0.98643,0.57787,1.43286,0.51217,1.5383,0.000109,0.000109,0.000109
92,5690.28,1.27679,0.55055,1.41895,0.98019,0.98424,0.98622,0.58135,1.42347,0.50827,1.53262,9.91e-05,9.91e-05,9.91e-05
93,5751.81,1.27106,0.55423,1.41703,0.98005,0.98543,0.98625,0.58405,1.41386,0.50529,1.52721,8.92e-05,8.92e-05,8.92e-05
94,5813.15,1.2592,0.54257,1.40721,0.98161,0.98573,0.98634,0.58353,1.41623,0.50545,1.52904,7.93e-05,7.93e-05,7.93e-05
95,5874.4,1.24992,0.5407,1.40458,0.9823,0.98673,0.98636,0.58523,1.41325,0.50412,1.5275,6.94e-05,6.94e-05,6.94e-05
96,5935.74,1.24895,0.53974,1.405,0.98149,0.9857,0.98627,0.58603,1.40948,0.50343,1.52549,5.95e-05,5.95e-05,5.95e-05
97,5996.96,1.24578,0.53619,1.39991,0.98229,0.98626,0.98636,0.58645,1.40568,0.5028,1.52319,4.96e-05,4.96e-05,4.96e-05
98,6057.99,1.23803,0.536,1.39357,0.98041,0.98719,0.98664,0.58786,1.40324,0.50216,1.52169,3.97e-05,3.97e-05,3.97e-05
99,6119.36,1.23217,0.53146,1.38909,0.9803,0.98748,0.98668,0.58958,1.40109,0.50097,1.52073,2.98e-05,2.98e-05,2.98e-05
100,6180.8,1.22156,0.52496,1.38097,0.98079,0.98774,0.98684,0.58939,1.39989,0.50113,1.52052,1.99e-05,1.99e-05,1.99e-05
