class,baseline_AP50,p2_AP50,baseline_F1,p2_F1,baseline_mAP,p2_mAP
missing_hole,0.9887469163112577,0.9911496105059501,0.9881601424627082,0.986855705221723,0.6347981776143387,0.6285349227044685
mouse_bite,0.9856245089964202,0.9868504042023707,0.9868400457066684,0.9851908230579519,0.6046434381574396,0.5841002465311742
open_circuit,0.9920129682920655,0.9902899933079051,0.9900525819048532,0.9868270784171761,0.5779845571445723,0.5552422039912062
short,0.9824964189219985,0.9803993090686656,0.9777277171574594,0.9733213407717782,0.6462148996666768,0.6254190200682184
spur,0.9889823699821154,0.9880045312166794,0.9826895761170886,0.9723825034977794,0.5973331394342838,0.5797850898323867
spurious_copper,0.9931088038648809,0.9908144818468136,0.9918172060951064,0.99367154402715,0.6176371663818699,0.5918625135817434
